url	slug	yc_name	yc_batch	news_count	news_date	news_title	news_url	parse_status
https://www.ycombinator.com/companies/haleum	haleum	Haleum	W25	0				ok
https://www.ycombinator.com/companies/bindwell	bindwell	Bindwell	W25	1	Nov 13, 2025	Teen founders raise $6M to reinvent pesticides using AI — and convince Paul Graham to join in | TechCrunch	https://techcrunch.com/2025/11/13/teen-founders-raise-6m-to-reinvent-pesticides-using-ai-and-convince-paul-graham-to-join-in/	ok
https://www.ycombinator.com/companies/edexia	edexia	Edexia	W25	3	Feb 14, 2025	Elite Qld schools trial AI to mark student work | The Courier Mail	https://www.couriermail.com.au/queensland-education/schools-hub/elite-qld-schools-trial-ai-to-mark-student-work-ease-load-on-teachers/news-story/5e886cc83b78ca0a3aa7d2d5cb9dd7e0	ok
https://www.ycombinator.com/companies/edexia	edexia	Edexia	W25	3	Feb 06, 2025	Ventures alumni lands in SF - Ventures - University of Queensland	https://ventures.uq.edu.au/blog/2025/01/ventures-alumni-lands-sf	ok
https://www.ycombinator.com/companies/edexia	edexia	Edexia	W25	3	Nov 11, 2024	Brisbane AI edtech Edexia accepted into Y Combinator	https://www.businessnewsaustralia.com/articles/brisbane-ai-edtech-edexia-accepted-into-y-combinator-for-2025.html	ok
https://www.ycombinator.com/companies/enhanced-radar	enhanced-radar	Enhanced Radar	W25	0				ok
https://www.ycombinator.com/companies/auricle	auricle	Auricle	W21	1	Apr 05, 2023	Our favorite startups from YC's Winter 2023 Demo Day — Part 1 | TechCrunch	https://techcrunch.com/2023/04/05/y-combinator-demo-day-favorites-part-one/	ok
https://www.ycombinator.com/companies/osmosis	osmosis	Osmosis	W25	0				ok
https://www.ycombinator.com/companies/subtrace	subtrace	Subtrace	W25	0				ok
https://www.ycombinator.com/companies/leaping-ai	leaping-ai	Leaping AI	W25	3	Oct 30, 2025	Leaping AI: The Voice AI Agent Platform That’s Jumping the Call Center Industry Forward	https://www.usatoday.com/story/special/contributor-content/2025/10/06/leaping-ai-the-voice-ai-agent-platform-thats-jumping-the-call-center-industry-forward/86547224007/	ok
https://www.ycombinator.com/companies/leaping-ai	leaping-ai	Leaping AI	W25	3	Aug 28, 2025	BCG Consultant Left to Found AI Startup: Here's What He Learned - Business Insider	https://www.businessinsider.com/bcg-consultant-burnt-out-left-founded-ai-startup-2025-8	ok
https://www.ycombinator.com/companies/leaping-ai	leaping-ai	Leaping AI	W25	3	Aug 20, 2025	Leaping AI Raised $4.7 Million in Silicon Valley, Struggled in Germany - Business Insider	https://www.businessinsider.com/leaping-ai-raised-millions-silicon-valley-struggled-in-germany-2025-8	ok
https://www.ycombinator.com/companies/vesence	vesence	Vesence	P25	1	Oct 28, 2025	Vesence Raises $9M Seed Round | Vesence	https://www.vesence.com/blog/seed-round-announcement	ok
https://www.ycombinator.com/companies/sim	sim	Sim	P25	1	Nov 12, 2025	$7M Series A | Sim	https://www.sim.ai/studio/series-a	ok
