url	slug	yc_name	yc_batch	news_count	news_date	news_title	news_url	parse_status
https://www.ycombinator.com/companies/runrl	runrl	RunRL	P25	0				ok
https://www.ycombinator.com/companies/human-behavior	human-behavior	Human Behavior	P25	1	Sep 03, 2025	These 20- and 22-year-olds raised $5M from YC, General Catalyst to study online behavior using vision AI | TechCrunch	https://techcrunch.com/2025/09/03/these-20-and-22-year-olds-raised-5m-from-yc-general-catalyst-to-study-online-behavior-using-vision-ai/	ok
https://www.ycombinator.com/companies/partcl	partcl	Partcl	P25	0				ok
https://www.ycombinator.com/companies/qfex	qfex	QFEX	P25	0				ok
https://www.ycombinator.com/companies/salespatriot	salespatriot	SalesPatriot	W25	1	Oct 28, 2025	We've raised $5M and we're hiring	https://salespatriot.com/blog/5-million-seed-funding	ok
https://www.ycombinator.com/companies/youlearn	youlearn	YouLearn	P25	0				ok
https://www.ycombinator.com/companies/tinfoil	tinfoil	Tinfoil	P25	0				ok
https://www.ycombinator.com/companies/atum-works	atum-works	Atum Works	P25	0				ok
https://www.ycombinator.com/companies/casco	casco	Casco	P25	0				ok
https://www.ycombinator.com/companies/novoflow	novoflow	Novoflow	P25	1	Nov 03, 2025	Pitch Deck: Novoflow Founders Raised $3 Million Out of Y Combinator - Business Insider	https://www.businessinsider.com/novoflow-pitch-deck-y-combinator-founders-raised-3-million-2025-10	ok
